Conference,Division,Min Elo,Max Elo,Avg Elo,Min P-N,Max P-N,Avg P-N
Atlantic Sun, South, 1409.6790502870322, 1668.1533922932992, 1514.066669243853, -5.876, 6.8296, 0.25694285714285714
Atlantic Sun, North, 1437.3629313194506, 1593.893634302926, 1505.8414501173413, -4.8217, 3.4564, -0.5679428571428572
America East, Tri-State, 1363.9886272503807, 1638.2534107956242, 1482.267569884393, -6.3778, 4.1755, -1.3577833333333331
America East, New England, 1395.4709119357472, 1579.588898047719, 1498.1706299036862, -6.7561, 6.9087, 0.1944499999999998
Ivy League, N/A, 1459.6169471689389, 1613.2250249688034, 1530.3247693308936, -4.6106, 6.361, 0.7742125000000001
Big Sky, South, 1483.5906752607184, 1604.8021865995822, 1561.66992232154, -1.3514, 5.7912, 1.8727285714285713
Big Sky, North, 1435.8022217396326, 1599.528874081679, 1494.8440917214514, -5.6201, 6.3159, -1.7019142857142857
Missouri Valley Conference, Metro, 1438.3237668206543, 1602.6325982169315, 1511.7388980250275, -2.7811, 5.2616, 0.998742857142857
Missouri Valley Conference, Prairie, 1423.3600009096954, 1601.5614491662836, 1506.7453208014474, -4.0782, 6.1214, 0.12765714285714305
Southland, Texas, 1402.6592679756457, 1597.6726875090988, 1510.7703539318607, -2.9011, 3.4671, 1.2898142857142856
Southland, Louisiana, 1411.8469058692033, 1547.7669485934396, 1483.5986828216467, -4.9367, 2.1947, -0.8539714285714286
Mid-Atlantic, Adirondack, 1417.5384154609112, 1592.3210307775412, 1490.2747925820586, -2.7342, 3.4569, 0.7286333333333334
Mid-Atlantic, Atlantic, 1417.000113697309, 1519.8039612831972, 1472.3427320495057, -4.259, 0.9646, -2.37935
Colonial, South, 1396.587302866055, 1584.9499955358322, 1481.0289182210206, -4.8801, 5.0835, -0.9468833333333334
Colonial, North, 1416.9516873271193, 1542.5322124440622, 1474.8274146314545, -3.9177, 5.5355, 0.47686666666666655
Carolina Football Conference, South, 1466.20437010047, 1569.0257289810072, 1503.871395276756, -4.882, 3.2241, 0.16500000000000004
Carolina Football Conference, North, 1400.0405498856155, 1500, 1443.3146522554896, -2.6202, 1.5757, -0.7091833333333333
Delta Intercollegiate, Mississippi Valley, 1466.812010603398, 1565.1910391452795, 1522.2461599438304, -3.8422, 6.7125, 2.117425000000001
Delta Intercollegiate, Tennessee Valley, 1373.769980364227, 1535.5415817103824, 1484.7395267608554, -8.098, 2.393, -1.26475
