Harvard def. Bryant - S1W0, 26, 24
Dayton def. Delaware - S1W0, 49, 35
East Tennessee State def. Tennessee State - S1W0, 21, 6
Idaho def. Western Carolina - S1W0, 52, 14
North Carolina A&T def. Jacksonville State - S1W0, 28, 14
James Madison def. Richmond - S1W0, 31, 7
Kennesaw State def. Weber State - S1W0, 34, 28
Montana def. Mercer - S1W0, 31, 14
Southeast Missouri def. Missouri State - S1W0, 38, 17
North Dakota State def. North Dakota - S1W0, 28, 16
Northern Iowa def. Youngstown State - S1W0, 42, 8
Portland State def. Southern - S1W0, 14, 7
Sam Houston State def. Stephen F. Austin - S1W0, 45, 24
Stetson def. The Citadel - S1W0, 47, 31
Abilene Christian def. Eastern Illinois - S1W1, 48, 17
Alabama State def. Kennesaw State - S1W1, 34, 17
Albany def. South Dakota State - S1W1, 38, 21
San Diego def. Bryant - S1W1, 31, 14
Cal Poly def. Lamar - S1W1, 30, 21
Campbell def. Portland State - S1W1, 24, 21
Wofford def. Delaware State - S1W1, 45, 28
Stephen F. Austin def. Delaware - S1W1, 27, 17
Harvard def. Weber State - S1W1, 14, 0
Richmond def. Incarnate Word - S1W1, 14, 7
Montana State def. Jacksonville State - S1W1, 45, 28
Montana def. James Madison - S1W1, 51, 41
Northern Iowa def. Mercer - S1W1, 45, 27
Missouri State def. Villanova - S1W1, 41, 14
North Carolina A&T def. Western Carolina - S1W1, 20, 0
North Dakota State def. Stetson - S1W1, 24, 14
Sam Houston State def. North Dakota - S1W1, 21, 14
Northern Colorado def. Stony Brook - S1W1, 28, 21
Princeton def. Sacred Heart - S1W1, 25, 17
UC Davis def. South Dakota - S1W1, 33, 12
The Citadel def. Southeast Missouri - S1W1, 45, 29
Southern def. Yale - S1W1, 30, 21
Jacksonville State def. Abilene Christian - S1W2, 16, 13
San Diego def. Alabama A&M - S1W2, 24, 17
Alabama State def. VMI - S1W2, 37, 14
Missouri State def. Albany - S1W2, 27, 24
Prairie View A&M def. Arkansas-Pine Bluff - S1W2, 35, 28
Southeast Missouri def. Austin Peay - S1W2, 14, 7
Bethune-Cookman def. Indiana State - S1W2, 50, 40
Brown def. Northwestern State - S1W2, 38, 37
Towson def. Bryant - S1W2, 41, 23
Cal Poly def. Illinois State - S1W2, 38, 31
Campbell def. South Dakota State - S1W2, 45, 38
Central Arkansas def. North Carolina A&T - S1W2, 34, 17
Chattanooga def. Mississippi Valley State - S1W2, 50, 26
Colgate def. Idaho - S1W2, 21, 19
Penn def. Columbia - S1W2, 32, 6
South Dakota def. Delaware State - S1W2, 45, 42
Sam Houston State def. Delaware - S1W2, 28, 13
Northern Colorado def. Drake - S1W2, 34, 28
East Tennessee State def. Portland State - S1W2, 21, 7
Sacramento State def. Eastern Illinois - S1W2, 42, 27
Grambling State def. Eastern Kentucky - S1W2, 28, 6
Tennessee Tech def. Eastern Washington - S1W2, 27, 22
William & Mary def. Florida A&M - S1W2, 28, 24
UC Davis def. Furman - S1W2, 17, 14
Georgetown def. James Madison - S1W2, 24, 20
Hampton def. North Dakota - S1W2, 21, 7
Harvard def. Lamar - S1W2, 21, 7
Idaho State def. Youngstown State - S1W2, 45, 7
Villanova def. Incarnate Word - S1W2, 20, 0
South Carolina State def. Jackson State - S1W2, 35, 14
St. Francis def. Lehigh - S1W2, 34, 7
Maine def. Samford - S1W2, 31, 14
McNeese State def. Stetson - S1W2, 38, 26
Montana State def. Stony Brook - S1W2, 21, 18
Montana def. Northern Iowa - S1W2, 35, 31
Rhode Island def. New Hampshire - S1W2, 48, 34
The Citadel def. North Dakota State - S1W2, 34, 25
Princeton def. Yale - S1W2, 14, 0
Richmond def. Western Carolina - S1W2, 14, 0
Robert Morris def. Wofford - S1W2, 28, 21
Sacred Heart def. Southeastern Louisiana - S1W2, 27, 20
Wagner def. Southern - S1W2, 15, 14
UT Martin def. Southern Utah - S1W2, 37, 36
Idaho State def. Abilene Christian - S1W3, 47, 27
Alabama A&M def. New Hampshire - S1W3, 72, 14
Northern Iowa def. Alabama State - S1W3, 21, 7
Albany def. South Carolina State - S1W3, 34, 0
Arkansas-Pine Bluff def. Cal Poly - S1W3, 45, 36
Bethune-Cookman def. South Dakota State - S1W3, 28, 24
Brown def. UC Davis - S1W3, 22, 17
Dartmouth def. Bucknell - S1W3, 26, 9
Butler def. Sam Houston State - S1W3, 59, 56
Mississippi Valley State def. Campbell - S1W3, 34, 27
Central Arkansas def. Rhode Island - S1W3, 52, 42
Tennessee Tech def. Chattanooga - S1W3, 28, 21
Colgate def. Georgetown - S1W3, 14, 7
Columbia def. Delaware State - S1W3, 14, 3
Southern Illinois def. Cornell - S1W3, 37, 34
Sacramento State def. Delaware - S1W3, 23, 14
Drake def. South Dakota - S1W3, 10, 7
East Tennessee State def. UT Martin - S1W3, 54, 42
Southeastern Louisiana def. Florida A&M - S1W3, 59, 38
Grambling State def. Villanova - S1W3, 10, 7
San Diego def. Hampton - S1W3, 47, 28
Harvard def. Wagner - S1W3, 36, 31
Idaho def. Western Carolina - S1W3, 7, 6
Illinois State def. Stony Brook - S1W3, 41, 24
Maine def. Indiana State - S1W3, 65, 55
Jacksonville def. Missouri State - S1W3, 28, 21
Jacksonville State def. Stetson - S1W3, 31, 24
James Madison def. Southern - S1W3, 21, 0
Southeast Missouri def. Lamar - S1W3, 14, 7
Wofford def. Lehigh - S1W3, 14, 7
McNeese State def. Morgan State - S1W3, 45, 39
Montana State def. Princeton - S1W3, 48, 38
Montana def. The Citadel - S1W3, 56, 35
